year,id,city,property crimes reported,violent crimes reported,income,unemployment,density,population,property_crime_rate,violent _crime_rate,log_income
2000,0,San Francisco,35675,6499,49049,3.3,,777885,4586.15348,835.4705387,4.690630158
2001,0,San Francisco,37459,6784,49517,4.5,,780865,4797.116019,868.7801349,4.694754325
2002,0,San Francisco,36612,6059,48224,6.3,,772723,4738.049728,784.110218,4.683263231
2003,0,San Francisco,38163,5725,49014,6.4,,766160,4981.074449,747.232954,4.690320146
2004,0,San Francisco,35869,5757,51823,5.5,,761325,4711.391324,756.181657,4.71452255
2005,0,San Francisco,34269,5985,54879,4.8,,763016,4491.255753,784.3872212,4.739406189
2006,0,San Francisco,36992,6533,59656,4.2,,768650,4812.593508,849.9316984,4.77565413
2007,0,San Francisco,34456,6414,61972,4.3,,778673,4424.964009,823.7090537,4.792195512
2008,0,San Francisco,36301,6744,62374,5.7,,791152,4588.372399,852.427852,4.795003596
2009,0,San Francisco,34509,5957,58896,9.8,,801922,4303.286355,742.8403261,4.7700858
2010,0,San Francisco,32365,5747,60501,10.1,,805 505,4017.976301,713.4654658,4.781762553
2011,0,San Francisco,32886,5374,64480,9.3,,815 650,4031.876418,658.8610311,4.809425029
2012,0,San Francisco,38898,5777,68904,7.9,,828 876,4692.861176,696.9679421,4.838244434
2013,0,San Francisco,48324,7064,69370,6.5,,839 572,5755.789855,841.3810846,4.841171694
2014,0,San Francisco,45093,6761,73673,5.3,,850 750,5300.382016,794.7105495,4.867308355
2015,0,San Francisco,53019,6710,79560,4.3,,863 010,6143.497758,777.5112687,4.900694774
2016,0,San Francisco,47402,6190,83812,3.9,,871 512,5439.053048,710.2598702,4.923306204
2017,0,San Francisco,54356,6301,89560,3.4,,878 040,6190.606351,717.6210651,4.952114085
2018,0,San Francisco,49214,6144,95972,2.8,,880 696,5588.080336,697.6300562,4.982144545
2019,0,San Francisco,48780,5933,99758,2.7,,881 549,5533.441703,673.0198775,4.998947734
2020,0,San Francisco,38737,4796,107815,8.3,,881 549,4394.197033,544.0423618,5.032679187
2000,1,New York City,212619,75692,86989,5.0,,8017608,2651.900667,944.0720973,4.939464338
2001,1,New York City,195490,68204,93194,5.8,,8059813,2425.490517,846.2231072,4.969387953
2002,1,New York City,186791,63839,90778,7.6,,8072000,2314.060951,790.8696729,4.95798061
2003,1,New York City,176767,59448,88185,7.4,,8068073,2190.94448,736.8302196,4.945394719
2004,1,New York City,171188,55688,89033,6.1,,8043366,2128.312948,692.3469602,4.949551007
2005,1,New York City,162509,54623,95113,4.9,,8013368,2027.973756,681.6484654,4.97823988
2006,1,New York City,153436,52086,107966,4.2,,7993906,1919.412112,651.5713345,5.033287012
2007,1,New York City,149488,50453,120851,4.2,,8013775,1865.388035,629.5784446,5.082250248
2008,1,New York City,149989,48430,118184,4.9,,8068195,1859.015554,600.2581742,5.072558685
2009,1,New York City,142000,46357,112521,8.4,,8131574,1746.27938,570.086431,5.051233583
2010,1,New York City,139615,48489,117597,8.6,,8 190 209,1704.657354,592.0361739,5.070396243
2011,1,New York City,140457,51209,127713,7.9,,8 272 948,1697.786569,618.9933746,5.106235107
2012,1,New York City,142760,52993,132764,8.1,,8 346 693,1710.37799,634.8981567,5.123080329
2013,1,New York City,141971,52384,136240,7.5,,8 396 091,1690.917833,623.9093883,5.134304635
2014,1,New York City,135747,50564,142018,6.0,,8 433 806,1609.55801,599.5395199,5.152343392
2015,1,New York City,129860,50088,145561,4.8,,8 463 049,1534.435166,591.8434361,5.163045031
2016,1,New York City,125278,49124,154104,4.5,,8 469 153,1479.227025,580.0343907,5.187813912
2017,1,New York City,124815,46433,169445,4.0,,8 437 478,1479.292746,550.3184719,5.229028758
2018,1,New York City,128051,46113,173187,3.7,,8 390 081,1526.218877,549.6132874,5.238515289
2019,1,New York City,122299,47821,169049,3.5,,8 336 817,1466.974746,573.6122072,5.228012606
2020,1,New York City,129361,47959,162457,9.7,,8 336 817,1551.683334,575.2675152,5.210738429
2000,2,Chicago,164181,46521,35946,4.4,,2891582,5677.895353,1608.842495,4.55565057
2001,2,Chicago,151156,44632,36940,5.6,,2874477,5258.5566,1552.699848,4.567496891
2002,2,Chicago,147177,44022,37189,6.9,,2847266,5169.063937,1546.114764,4.5704145
2003,2,Chicago,144622,37684,37665,6.8,,2819117,5130.046039,1336.730615,4.575937972
2004,2,Chicago,140602,35106,38960,6.3,,2786291,5046.206588,1259.954542,4.590618948
2005,2,Chicago,131183,34355,40696,5.9,,2752523,4765.918396,1248.127627,4.609551725
2006,2,Chicago,129718,33776,43305,4.6,,2720181,4768.726787,1241.682079,4.636538043
2007,2,Chicago,126298,33292,45679,5.0,,2703991,4670.79957,1231.217116,4.659716588
2008,2,Chicago,131053,34195,46420,6.3,,2697359,4858.567213,1267.721501,4.666705136
2009,2,Chicago,120407,32062,43456,10.2,,2697006,4464.469119,1188.799728,4.638049748
2010,2,Chicago,120045,28402,44319,10.6,,2 697 477,4450.269641,1052.909812,4.646589953
2011,2,Chicago,118239,26814,46280,10.0,,2 708 114,4366.101279,990.1355704,4.66539335
2012,2,Chicago,112466,26248,48768,9.1,,2 719 141,4136.085624,965.3048518,4.688134945
2013,2,Chicago,97476,25688,49353,9.1,,2 725 731,3576.141593,942.4260868,4.693313557
2014,2,Chicago,85351,24133,51751,7.2,,2 727 066,3129.773904,884.9437454,4.713918746
2015,2,Chicago,80505,24698,54358,6.0,,2 724 344,2955.023301,906.5668653,4.735263469
2016,2,Chicago,87136,30193,55027,5.8,,2 716 723,3207.393614,1111.375727,4.740575836
2017,2,Chicago,88324,29737,56964,4.9,,2 711 069,3257.903063,1096.873595,4.755600478
2018,2,Chicago,86822,27420,60416,4.2,,2 701 423,3213.935766,1015.020602,4.781151968
2019,2,Chicago,81010,25553,62215,3.9,,2 693 976,3007.079499,948.5236691,4.793895105
2020,2,Chicago,59530,26583,65862,9.7,,2 693 976,2209.745001,986.7571203,4.818634915
2000,3,Houston,110220,21491,33254,4.3,,1940482,5680.032075,1107.508341,4.521843892
2001,3,Houston,118568,23419,34501,4.6,,1945444,6094.649859,1203.786899,4.537831683
2002,3,Houston,124289,24958,33518,6.0,,1955480,6355.93307,1276.310676,4.525278097
2003,3,Houston,120005,23988,34265,6.8,,1956861,6132.525509,1225.840773,4.534850736
2004,3,Houston,123425,23427,36151,6.2,,1955398,6312.014229,1198.068117,4.558120315
2005,3,Houston,120425,23987,38727,5.7,,1958590,6148.555849,1224.70757,4.588013856
2006,3,Houston,121053,24250,41834,5.1,,2000286,6051.784595,1212.326637,4.621529392
2007,3,Houston,123326,24564,43812,4.3,,2005113,6150.576052,1225.068113,4.641593079
2008,3,Houston,110759,24779,47913,4.8,,2019880,5483.444561,1226.756045,4.680453364
2009,3,Houston,120933,25593,43946,7.6,,2045700,5911.570612,1251.063206,4.642919351
2010,3,Houston,115323,22491,45627,8.3,,2 100 280,5490.839317,1070.857219,4.659221915
2011,3,Houston,108336,20892,48677,8.1,,2 126 032,5095.689999,982.6757076,4.687323804
2012,3,Houston,107678,21610,52301,6.6,,2 161 593,4981.418796,999.7256653,4.718509993
2013,3,Houston,110919,20993,52033,6.1,,2 199 391,5043.168768,954.4914933,4.716278866
2014,3,Houston,104197,22008,54699,5.0,,2 241 826,4647.862947,981.6997394,4.737979387
2015,3,Houston,100053,21994,54210,4.6,,2 286 908,4375.033889,961.7352338,4.734079407
2016,3,Houston,100856,23960,50841,5.3,,2 309 544,4366.922648,1037.434229,4.706214084
2017,3,Houston,96532,25609,54000,5.1,,2 316 750,4166.69904,1105.384698,4.73239376
2018,3,Houston,93916,24210,57086,4.4,,2 318 573,4050.594913,1044.176741,4.756529613
2019,3,Houston,102057,25499,58887,3.8,,2 320 268,4398.500518,1098.967878,4.77001943
2020,3,Houston,98669,29707,59674,8.7,,2 320 268,4252.482903,1280.326238,4.77578515
2000,4,Phoenix,87744,9754,28901,3.3,,1326682,6613.792906,735.2176332,4.46091287
2001,4,Phoenix,94443,10532,29074,4.2,,1342908,7032.723016,784.2681703,4.463504786
2002,4,Phoenix,99693,10223,29376,5.8,,1357196,7345.512365,753.2441888,4.46799266
2003,4,Phoenix,97823,9722,30333,5.3,,1368806,7146.593454,710.2540462,4.481915365
2004,4,Phoenix,94406,9465,32417,4.5,,1386945,6806.75874,682.4351362,4.510772821
2005,4,Phoenix,93328,10691,34683,4.1,,1417720,6582.964196,754.0981294,4.540116656
2006,4,Phoenix,90050,11195,37336,3.7,,1441241,6248.087586,776.7611385,4.572127788
2007,4,Phoenix,89825,11158,38310,3.2,,1450901,6190.980639,769.0393762,4.583312152
2008,4,Phoenix,82689,10465,37511,5.2,,1456729,5676.347488,718.3903114,4.574158642
2009,4,Phoenix,65617,8730,34797,9.1,,1452679,4516.964863,600.9586426,4.541541803
2010,4,Phoenix,61415,8001,35092,9.5,,1 449 038,4238.329154,552.1594327,4.545208121
2011,4,Phoenix,64479,8089,36767,8.4,,1 469 796,4386.93533,550.3484837,4.565458195
2012,4,Phoenix,60777,9458,38129,7.4,,1 499 274,4053.762021,630.8386592,4.581255415
2013,4,Phoenix,60085,9492,38590,6.7,,1 526 491,3936.151605,621.8182747,4.586474779
2014,4,Phoenix,56977,8749,40090,5.9,,1 555 445,3663.067482,562.4756902,4.603036056
2015,4,Phoenix,54456,9261,41828,5.2,,1 583 690,3438.551737,584.7735352,4.621467099
2016,4,Phoenix,58552,10700,43196,4.7,,1 612 199,3631.809721,663.6897802,4.635443533
2017,4,Phoenix,60353,12511,45249,4.3,,1 633 560,3694.568917,765.8733074,4.655608986
